Site,PullDate,ValidDate,ValidHoure,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,average
BroomsBarn,2022-04-25,2022-04-25,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,08:00:00,0.042,0,0.1,0,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,09:00:00,0.126,0,0.3,0.1,0.2,0.1,0.3,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.2,0.1,0,0.1,0.2,0.2,0,0.2,0.1,0.2,0.3,0.1,0.1,0,0.2,0.2,0.3,0,0,0.1,0,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
BroomsBarn,2022-04-25,2022-04-25,10:00:00,0.21,0,0.5,0.2,0.4,0,0.3,0.3,0.3,0.1,0.1,0.2,0.2,0.3,0.5,0.1,0.4,0.4,0.1,0.1,0.3,0.1,0.5,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0,0.1,0.4,0.3,0,0.2,0.1,0,0.3,0.2,0.4,0.1,0.3,0.1,0.1,0.2,0.2,0,0,0.2,0.1,0.2,0.4,0.2
BroomsBarn,2022-04-25,2022-04-25,11:00:00,0.292,0,0.6,0.3,0.6,0.1,0.2,0.5,0.6,0.3,0.3,0.3,0.3,0.4,0.5,0,0.2,0.4,0,0.3,0.4,0.2,0.6,0.2,0.3,0.3,0.2,0.3,0.2,0.6,0.2,0.1,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.1,0.2,0.4,0.1,0.2,0.4,0.2,0.2,0.3,0.2,0.3,0.4,0.3
BroomsBarn,2022-04-25,2022-04-25,12:00:00,0.318,0,0.7,0.4,0.5,0.1,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.3,0.1,0,0.2,0.1,0.4,0.3,0.5,0.7,0.5,0.4,0.3,0.3,0.3,0.1,0.5,0.3,0.2,0.4,0.3,0.4,0.2,0.4,0.3,0.3,0.3,0.5,0.3,0.3,0.4,0.2,0.1,0.4,0.2,0.5,0.2,0.2,0.3,0.3,0.3
BroomsBarn,2022-04-25,2022-04-25,13:00:00,0.316,0.1,1.1,0.4,0.2,0.1,0.2,0.4,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.1,0.3,0.4,0.3,0.5,0.4,0.7,0.3,0.2,0.3,0.1,0.4,0.3,0.3,0.2,0.4,0.2,0.3,0.5,0.2,0.2,0.5,0.1,0.2,0.4,0.6,0.2,0.2,1.1,0.3,0.1,0.5,0.2,0.1,0.2,0.4,0.3
BroomsBarn,2022-04-25,2022-04-25,14:00:00,0.276,0,1.8,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.3,1.2,0.1,0.2,0.3,0.3,0.4,0.1,0.4,0.2,0.1,0.2,0,1,0.1,0.2,0.1,0.2,0.2,0.1,0.7,0.1,0.1,0.3,0.1,0.1,0.2,0.5,0.1,0.2,1.8,0.2,0.1,0.3,0.3,0.9,0.1,0.3,0.3
BroomsBarn,2022-04-25,2022-04-25,15:00:00,0.212,0,1,0,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0,0.1,0.7,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0,1,0,0,0.1,0,0.3,0,0.6,0.1,0,0.1,0.4,0.2,0.2,0.2,0.1,0.3,0.8,0.5,0.1,0.3,0.2,0.9,0.1,0.1,0.2
BroomsBarn,2022-04-25,2022-04-25,16:00:00,0.15,0,0.6,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.1,0,0.1,0.1,0.1,0.1,0.3,0.1,0,0.1,0,0.1,0.1,0.2,0,0.6,0,0,0.3,0.1,0.2,0,0.2,0.1,0.1,0.1,0.5,0.1,0.4,0.1,0.2,0.2,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.1,0.1
BroomsBarn,2022-04-25,2022-04-25,17:00:00,0.068,0,0.3,0.1,0,0.1,0,0.2,0,0,0,0.2,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0.3,0,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0,0.2,0,0.1,0.1,0.1,0,0,0.1,0.2,0,0.1,0.1,0.1
BroomsBarn,2022-04-25,2022-04-25,18:00:00,0.024,0,0.3,0.1,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.0
BroomsBarn,2022-04-25,2022-04-25,19:00:00,0.006,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-25,23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-26,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-26,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-26,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-26,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-26,04:00:00,0.002,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-26,05:00:00,0.002,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-26,06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-04-25,2022-04-26,07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
