Site,PullDate,ValidDate,ValidHoure,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,average
BroomsBarn,2022-05-16,2022-05-16,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-05-16,2022-05-16,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-05-16,2022-05-16,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-05-16,2022-05-16,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-05-16,2022-05-16,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-05-16,2022-05-16,05:00:00,111027.27272727,61681.818181818,161836.36363636,110818.18181818,101200,139254.54545455,74645.454545455,89490.909090909,122527.27272727,121690.90909091,160581.81818182,136536.36363636,160790.90909091,94927.272727273,135700,81754.545454545,81963.636363636,153890.90909091,97018.181818182,91163.636363636,76527.272727273,71927.272727273,61681.818181818,108936.36363636,99736.363636364,90327.272727273,131936.36363636,158700,161836.36363636,63981.818181818,107890.90909091,141345.45454545,80290.909090909,75481.818181818,147827.27272727,68372.727272727,123154.54545455,112700,94927.272727273,145736.36363636,132354.54545455,98063.636363636,128172.72727273,113745.45454545,120854.54545455,69418.181818182,78409.090909091,130472.72727273,140718.18181818,144900,88863.636363636,134027.27272727,94090.909090909,111027.3
BroomsBarn,2022-05-16,2022-05-16,06:00:00,629857.09090909,212436.36363636,1048590.9090909,551581.81818182,579390.90909091,857481.81818182,212436.36363636,511018.18181818,638772.72727273,601972.72727273,1019736.3636364,863963.63636364,1005100,675572.72727273,770081.81818182,513318.18181818,568936.36363636,889054.54545455,403336.36363636,216618.18181818,504954.54545455,537781.81818182,301090.90909091,613263.63636364,483000,429472.72727273,486972.72727273,1048590.9090909,1018272.7272727,635427.27272727,513318.18181818,794545.45454545,475681.81818182,675363.63636364,825490.90909091,376781.81818182,949063.63636364,599463.63636364,355245.45454545,851000,546354.54545455,577927.27272727,557645.45454545,802281.81818182,494081.81818182,474845.45454545,576463.63636364,844309.09090909,511227.27272727,637727.27272727,674736.36363636,811900,630200,629857.1
BroomsBarn,2022-05-16,2022-05-16,07:00:00,1704099.2727273,699618.18181818,2669881.8181818,1089572.7272727,1612927.2727273,2191481.8181818,1377490.9090909,1589718.1818182,1815954.5454545,1818254.5454545,2596490.9090909,2252745.4545455,2475218.1818182,1866763.6363636,2092790.9090909,760881.81818182,1946009.0909091,2191690.9090909,1187218.1818182,940490.90909091,1508590.9090909,1118218.1818182,894700,1430181.8181818,1127000,1435618.1818182,1350100,2634336.3636364,2669881.8181818,1496463.6363636,1477227.2727273,2005809.0909091,960354.54545455,2314636.3636364,2457445.4545455,1391500,1997654.5454545,1761590.9090909,1059881.8181818,2193990.9090909,699618.18181818,1453809.0909091,1819509.0909091,2359800,1579681.8181818,1845018.1818182,1758872.7272727,2378200,1268136.3636364,1887045.4545455,1176763.6363636,2341400,1546227.2727273,1704099.3
BroomsBarn,2022-05-16,2022-05-16,08:00:00,3112314,1459872.7272727,4762463.6363636,2524563.6363636,2855554.5454545,3551200,3514609.0909091,2723618.1818182,2951318.1818182,2830881.8181818,3879472.7272727,3662436.3636364,4116372.7272727,2733863.6363636,3183618.1818182,2364818.1818182,3604936.3636364,3429090.9090909,3576290.9090909,2474800,2364818.1818182,2273027.2727273,2678036.3636364,2581227.2727273,2645836.3636364,3808172.7272727,2460581.8181818,4699527.2727273,4188718.1818182,2606109.0909091,2722154.5454545,2809136.3636364,2024627.2727273,4345745.4545455,4762463.6363636,3362181.8181818,3188218.1818182,3162081.8181818,3094336.3636364,3833890.9090909,1586581.8181818,1974654.5454545,3754018.1818182,3887418.1818182,3308654.5454545,3083254.5454545,3091200,3650727.2727273,1977790.9090909,3777227.2727273,1459872.7272727,4107800,2368163.6363636,3112314.0
BroomsBarn,2022-05-16,2022-05-16,09:00:00,4703608.7272727,2973481.8181818,6473454.5454545,4869727.2727273,4317518.1818182,4490436.3636364,5558263.6363636,4657081.8181818,4195200,4449036.3636364,5701281.8181818,5496581.8181818,5490309.0909091,3441845.4545455,4090027.2727273,4897536.3636364,4987654.5454545,4353272.7272727,5773209.0909091,4103827.2727273,3757781.8181818,2973481.8181818,4929318.1818182,4482700,3851663.6363636,6256209.0909091,4514900,6473454.5454545,5275990.9090909,4602927.2727273,3809636.3636364,4088772.7272727,3548481.8181818,6369118.1818182,5852036.3636364,5443890.9090909,4666909.0909091,4834181.8181818,5750000,5356700,3450836.3636364,3430763.6363636,5477972.7272727,4799890.9090909,5236472.7272727,3972727.2727273,4800727.2727273,4987654.5454545,3025545.4545455,5642736.3636364,3789145.4545455,4928063.6363636,3926936.3636364,4703608.7
BroomsBarn,2022-05-16,2022-05-16,10:00:00,6002310,4031272.7272727,7920154.5454545,7584563.6363636,4710818.1818182,4716463.6363636,5989200,6060709.0909091,5666154.5454545,6145181.8181818,7138572.7272727,7516400,5676400,5129627.2727273,5003336.3636364,6021190.9090909,5949472.7272727,5577290.9090909,7920154.5454545,5860190.9090909,5232500,4031272.7272727,5923754.5454545,6217318.1818182,4868472.7272727,7586027.2727273,6697181.8181818,7857009.0909091,6151245.4545455,6277118.1818182,5129209.0909091,5286236.3636364,4698690.9090909,7600036.3636364,5700445.4545455,5994636.3636364,5212427.2727273,6059663.6363636,7599409.0909091,7241236.3636364,6008645.4545455,5221209.0909091,6693627.2727273,5094709.0909091,6054018.1818182,5242118.1818182,6571100,6693209.0909091,4706009.0909091,7293718.1818182,6032063.6363636,5237100,5238354.5454545,6002310.0
BroomsBarn,2022-05-16,2022-05-16,11:00:00,6855823.2727273,5287072.7272727,9731090.9090909,9516354.5454545,5287072.7272727,5590672.7272727,6543081.8181818,6144763.6363636,6473454.5454545,6437700,7549645.4545455,8024072.7272727,5616390.9090909,6743600,5410854.5454545,7135854.5454545,6522172.7272727,6777472.7272727,9731090.9090909,6685681.8181818,6533672.7272727,6224636.3636364,6475963.6363636,6973390.9090909,6917145.4545455,8118790.9090909,7448863.6363636,9322945.4545455,7053054.5454545,6859227.2727273,5945290.9090909,5805200,5602800,7652727.2727273,5529827.2727273,6124272.7272727,5422354.5454545,7025454.5454545,8591336.3636364,7608818.1818182,6824309.0909091,7101145.4545455,7863281.8181818,5589418.1818182,6817618.1818182,5916854.5454545,6683381.8181818,8484700,6757400,8707172.7272727,6646372.7272727,6371418.1818182,5602381.8181818,6855823.3
BroomsBarn,2022-05-16,2022-05-16,12:00:00,8467006.7272727,6437909.0909091,10516854.545455,10474200,7789263.6363636,7227854.5454545,8972300,8797500,8065054.5454545,7425654.5454545,9524090.9090909,9317090.9090909,8132381.8181818,8913336.3636364,7073545.4545455,9362254.5454545,6999945.4545455,7973681.8181818,9887700,6553536.3636364,9094409.0909091,8043936.3636364,8645281.8181818,9212545.4545455,9206900,9899409.0909091,9321690.9090909,10516854.545455,8715536.3636364,8404409.0909091,8089518.1818182,7071036.3636364,7283890.9090909,8869009.0909091,7022109.0909091,6437909.0909091,6898745.4545455,8888872.7272727,10078809.090909,7158227.2727273,8387472.7272727,9557336.3636364,9276109.0909091,7587700,8260763.6363636,8682918.1818182,7521000,10075463.636364,9327963.6363636,9953772.7272727,7504272.7272727,8658036.3636364,7209036.3636364,8467006.7
