Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
BroomsBarn,2022-05-02,2022-05-02T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-02,2022-05-02T06:00:00Z,417399.81818182,0,687281.81818182,0,0,0,0,0,0,0,0,0,526490.90909091,638772.72727273,518963.63636364,516872.72727273,403545.45454545,472127.27272727,416509.09090909,286454.54545455,492200,525654.54545455,534018.18181818,646090.90909091,687281.81818182,515409.09090909,540918.18181818,580854.54545455,500772.72727273,623927.27272727,431354.54545455,636681.81818182,434909.09090909,504954.54545455,357127.27272727,361518.18181818,305063.63636364,668463.63636364,406472.72727273,351690.90909091,344372.72727273,410654.54545455,487390.90909091,463554.54545455,670972.72727273,507254.54545455,574581.81818182,635427.27272727,610127.27272727,631454.54545455,547609.09090909,603854.54545455,497636.36363636
BroomsBarn,2022-05-02,2022-05-02T12:00:00Z,15443705.454545,0,23445572.727273,0,0,0,0,0,0,0,0,0,19468454.545455,19199354.545455,20254009.090909,19995154.545455,18199481.818182,18916036.363636,13497027.272727,14338409.090909,14055509.090909,19939327.272727,21448336.363636,19275881.818182,20150509.090909,18662409.090909,20709827.272727,19482881.818182,20688290.909091,20599218.181818,18605536.363636,23445572.727273,20429854.545455,16438727.272727,18021127.272727,16530518.181818,20320709.090909,19108818.181818,19134118.181818,17210481.818182,15531063.636364,21913563.636364,19987836.363636,19330663.636364,21027645.454545,18514372.727273,17498609.090909,16796481.818182,20073772.727273,19501072.727273,19898763.636364,19779581.818182,14206263.636364
BroomsBarn,2022-05-02,2022-05-02T18:00:00Z,12020013.272727,0,18074027.272727,0,0,0,0,0,0,0,0,0,18074027.272727,14311436.363636,14424345.454545,16587181.818182,14733172.727273,14906927.272727,15563054.545455,13767800,14671072.727273,14971118.181818,14443790.909091,16304700,15749772.727273,11129072.727273,12621145.454545,14456963.636364,13693363.636364,14739863.636364,13585263.636364,16819690.909091,13073200,15176445.454545,13651545.454545,14881209.090909,14921354.545455,12238090.909091,15514336.363636,15870209.090909,13233572.727273,15872509.090909,15079427.272727,9644318.1818182,15655263.636364,16135336.363636,12744090.909091,16761772.727273,13743754.545455,15649618.181818,15669272.727273,16540345.454545,13391227.272727
BroomsBarn,2022-05-02,2022-05-03T00:00:00Z,300936.18181818,0,495127.27272727,0,0,0,0,0,0,0,0,0,413163.63636364,395600,401454.54545455,495127.27272727,421527.27272727,228954.54545455,439718.18181818,277881.81818182,412118.18181818,357336.36363636,349390.90909091,373645.45454545,423409.09090909,309245.45454545,429054.54545455,393509.09090909,433863.63636364,285827.27272727,325972.72727273,449545.45454545,335800,433236.36363636,386400,386609.09090909,348554.54545455,208463.63636364,459790.90909091,415672.72727273,362145.45454545,380754.54545455,454145.45454545,254881.81818182,307990.90909091,341445.45454545,319909.09090909,200309.09090909,314263.63636364,351063.63636364,423618.18181818,287290.90909091,458118.18181818
BroomsBarn,2022-05-02,2022-05-03T06:00:00Z,479407.81818182,0,739554.54545455,0,0,0,0,0,0,0,0,0,549281.81818182,716554.54545455,478609.09090909,579600,696063.63636364,651109.09090909,673481.81818182,336845.45454545,642118.18181818,535900,589636.36363636,687909.09090909,506418.18181818,610127.27272727,666163.63636364,516663.63636364,622881.81818182,585663.63636364,550954.54545455,533181.81818182,416300,726381.81818182,480700,709027.27272727,680381.81818182,690000,672018.18181818,430100,739554.54545455,509763.63636364,440554.54545455,381381.81818182,564963.63636364,540500,614518.18181818,693763.63636364,489063.63636364,624554.54545455,684563.63636364,664490.90909091,488645.45454545
BroomsBarn,2022-05-02,2022-05-03T12:00:00Z,14923658.727273,0,25528745.454545,0,0,0,0,0,0,0,0,0,20766281.818182,19457790.909091,22706645.454545,20191490.909091,20266345.454545,22248109.090909,18021127.272727,15857663.636364,24092500,17781927.272727,20779036.363636,21399409.090909,20132318.181818,18595081.818182,18950745.454545,10192345.454545,18558490.909091,20670100,10739954.545455,14404481.818182,9354100,19017236.363636,11964181.818182,23797472.727273,18093472.727273,22485427.272727,19802790.909091,12649372.727273,22793000,19993272.727273,18254890.909091,17822072.727273,17389254.545455,9275900,25528745.454545,22230127.272727,10887363.636364,15053709.090909,21843727.272727,18859790.909091,13275181.818182
BroomsBarn,2022-05-02,2022-05-03T18:00:00Z,12904840,0,21351318.181818,0,0,0,0,0,0,0,0,0,18103718.181818,17321927.272727,15048481.818182,17185390.909091,17082727.272727,18480918.181818,15939627.272727,13773445.454545,19911309.090909,14605627.272727,19992645.454545,17247490.909091,17122245.454545,21351318.181818,15467918.181818,12353090.909091,14178245.454545,17793218.181818,12823545.454545,17333845.454545,12271127.272727,11802972.727273,10379272.727273,18268900,13520654.545455,18005236.363636,13239427.272727,16488490.909091,17763318.181818,16862554.545455,19084145.454545,15849300,12747436.363636,14300981.818182,17859709.090909,18944681.818182,9197281.8181818,14516763.636364,18574590.909091,13659490.909091,8788927.2727273
BroomsBarn,2022-05-02,2022-05-04T00:00:00Z,292288.18181818,0,501190.90909091,0,0,0,0,0,0,0,0,0,427590.90909091,501190.90909091,330781.81818182,420063.63636364,415672.72727273,491781.81818182,348763.63636364,218500,485090.90909091,234390.90909091,452054.54545455,447872.72727273,163718.18181818,492409.09090909,394136.36363636,405218.18181818,146154.54545455,337681.81818182,179190.90909091,334963.63636364,282063.63636364,342909.09090909,229581.81818182,416300,287500,468781.81818182,297536.36363636,417763.63636364,466481.81818182,396227.27272727,344372.72727273,376781.81818182,340818.18181818,425918.18181818,375945.45454545,476727.27272727,177936.36363636,208463.63636364,371554.54545455,393927.27272727,289590.90909091
BroomsBarn,2022-05-02,2022-05-04T06:00:00Z,247446.54545455,0,603854.54545455,0,0,0,0,0,0,0,0,0,191318.18181818,281645.45454545,322000,234181.81818182,276418.18181818,345836.36363636,350227.27272727,339145.45454545,183581.81818182,302763.63636364,187345.45454545,273072.72727273,199890.90909091,362772.72727273,412118.18181818,237945.45454545,489900,135909.09090909,304227.27272727,116045.45454545,389745.45454545,106427.27272727,274954.54545455,374272.72727273,227490.90909091,318027.27272727,397063.63636364,437209.09090909,277672.72727273,143436.36363636,603854.54545455,172500,567890.90909091,257181.81818182,486136.36363636,383890.90909091,143018.18181818,190690.90909091,313636.36363636,419645.45454545,341236.36363636
BroomsBarn,2022-05-02,2022-05-04T12:00:00Z,12921446,0,22957554.545455,0,0,0,0,0,0,0,0,0,17280736.363636,14755336.363636,22124745.454545,19593700,18393727.272727,13718663.636364,14892918.181818,17528090.909091,19820145.454545,13199490.909091,17605872.727273,19284245.454545,11222954.545455,19000090.909091,10585645.454545,14827054.545455,20983318.181818,16075327.272727,12687636.363636,11231318.181818,10309018.181818,10919772.727273,11514218.181818,20364409.090909,9534127.2727273,9279454.5454545,18539463.636364,21112118.181818,15906381.818182,13704236.363636,22805963.636364,13986509.090909,22957554.545455,16614990.909091,20907418.181818,11764500,9338418.1818182,11093109.090909,17180163.636364,16062990.909091,17366463.636364
BroomsBarn,2022-05-02,2022-05-04T18:00:00Z,11171643.636364,0,20628490.909091,0,0,0,0,0,0,0,0,0,13685000,13478836.363636,15284754.545455,15513081.818182,11476790.909091,13120872.727273,13453536.363636,10998181.818182,20628490.909091,13528809.090909,12426481.818182,12332390.909091,12630136.363636,18145536.363636,14323354.545455,13566654.545455,17610890.909091,13250300,11459227.272727,10651718.181818,12432754.545455,10115609.090909,9214218.1818182,14362872.727273,12431500,10836554.545455,15140063.636364,15346227.272727,13720127.272727,13002736.363636,18913318.181818,11594509.090909,13395827.272727,15229763.636364,13485109.090909,15944436.363636,12245618.181818,13425309.090909,11881590.909091,15596090.909091,12702900
