Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
Cranwell,2022-05-26,2022-05-26T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cranwell,2022-05-26,2022-05-26T06:00:00Z,876697.27272727,0,1265209.0909091,0,0,0,0,0,0,0,0,0,972900,1008654.5454545,1077863.6363636,1136200,1180109.0909091,1136618.1818182,1009281.8181818,1052145.4545455,1071800,1147281.8181818,1169027.2727273,1170909.0909091,1265209.0909091,912890.90909091,1053609.0909091,1056118.1818182,1113827.2727273,916654.54545455,936518.18181818,1115709.0909091,1088945.4545455,860618.18181818,1119472.7272727,1113827.2727273,1096472.7272727,1163172.7272727,1114663.6363636,833854.54545455,1047336.3636364,1109436.3636364,1036463.6363636,1050472.7272727,1147909.0909091,1151881.8181818,1080372.7272727,936518.18181818,1209381.8181818,1104836.3636364,857690.90909091,1229454.5454545,978754.54545455
Cranwell,2022-05-26,2022-05-26T12:00:00Z,11347229.818182,0,17666927.272727,0,0,0,0,0,0,0,0,0,13628963.636364,11101263.636364,11944109.090909,14060945.454545,14980736.363636,13444336.363636,13306545.454545,13480090.909091,13656354.545455,14949790.909091,13207018.181818,10651300,13223536.363636,13642554.545455,16249709.090909,13874227.272727,15205718.181818,11884727.272727,17666927.272727,14186818.181818,15234572.727273,11423054.545455,13097036.363636,14254981.818182,11763036.363636,13427190.909091,12275936.363636,14550427.272727,12214463.636364,14631763.636364,12588945.454545,15898854.545455,17006200,15673036.363636,15167872.727273,13699218.181818,17429400,13496400,12297263.636364,15103890.909091,11782272.727273
Cranwell,2022-05-26,2022-05-26T18:00:00Z,8509841.0909091,0,16866527.272727,0,0,0,0,0,0,0,0,0,11560218.181818,11098754.545455,7598572.7272727,10617218.181818,8749409.0909091,7738454.5454545,9258127.2727273,11152490.909091,9466172.7272727,12015409.090909,9895227.2727273,6403618.1818182,12796572.727273,10001445.454545,11424309.090909,8898281.8181818,11098336.363636,8057736.3636364,12332390.909091,10341636.363636,11514427.272727,7592509.0909091,15960118.181818,6614381.8181818,13212663.636364,9916972.7272727,12093609.090909,7566372.7272727,15282036.363636,12405781.818182,16866527.272727,7884609.0909091,7325290.9090909,9983881.8181818,10168300,11416363.636364,11620645.454545,10090936.363636,9092318.1818182,9583054.5454545,8796872.7272727
Cranwell,2022-05-26,2022-05-27T00:00:00Z,876538.36363636,0,1462381.8181818,0,0,0,0,0,0,0,0,0,1136618.1818182,1304936.3636364,1152927.2727273,1031236.3636364,640027.27272727,395600,1137245.4545455,772172.72727273,1020154.5454545,1213772.7272727,1296572.7272727,649854.54545455,1242209.0909091,1460500,1123654.5454545,1177809.0909091,806881.81818182,1342363.6363636,900345.45454545,1283609.0909091,1328772.7272727,640027.27272727,1462381.8181818,586500,1221509.0909091,690836.36363636,1148118.1818182,1252663.6363636,1310790.9090909,1341527.2727273,1285490.9090909,1097518.1818182,1136200,666163.63636364,1052772.7272727,1121354.5454545,1429554.5454545,1105045.4545455,840336.36363636,887590.90909091,1133272.7272727
Cranwell,2022-05-26,2022-05-27T06:00:00Z,1278285.6363636,0,1598500,0,0,0,0,0,0,0,0,0,1561281.8181818,1570900,1574036.3636364,1576127.2727273,1553127.2727273,1538490.9090909,1570272.7272727,1547063.6363636,1578009.0909091,1576336.3636364,1565672.7272727,1551454.5454545,1563163.6363636,1579681.8181818,1573200,1559190.9090909,1509218.1818182,1482245.4545455,1574036.3636364,1572781.8181818,1587418.1818182,1582818.1818182,1575290.9090909,1504409.0909091,1558145.4545455,1557727.2727273,1568600,1505454.5454545,1576127.2727273,1573200,1561909.0909091,1569854.5454545,1540581.8181818,1567554.5454545,1521345.4545455,1548527.2727273,1598500,1534727.2727273,1564418.1818182,1567345.4545455,1574036.3636364
Cranwell,2022-05-26,2022-05-27T12:00:00Z,20699460.545455,0,28909745.454545,0,0,0,0,0,0,0,0,0,28199045.454545,21447500,26425536.363636,28756272.727273,25505536.363636,26040181.818182,26404627.272727,23748336.363636,28909745.454545,20799736.363636,24714545.454545,27312081.818182,27208581.818182,28577500,25167227.272727,21327900,26707181.818182,24771836.363636,26271227.272727,23948227.272727,26157063.636364,26007354.545455,26105209.090909,21049809.090909,26470909.090909,22550245.454545,26519000,18287509.090909,27730472.727273,25172245.454545,27040681.818182,24172581.818182,25900509.090909,26539281.818182,24343409.090909,21927154.545455,26510636.363636,23507881.818182,24525527.272727,26894527.272727,25318190.909091
Cranwell,2022-05-26,2022-05-27T18:00:00Z,19296243.090909,0,27251027.272727,0,0,0,0,0,0,0,0,0,25197545.454545,22595827.272727,18911018.181818,22077490.909091,25335754.545455,24821600,25142345.454545,19933472.727273,26931745.454545,22506963.636364,23926900,27104872.727273,25523936.363636,26943454.545455,23811063.636364,25628272.727273,21008827.272727,22187263.636364,22327145.454545,24251409.090909,24321872.727273,25975363.636364,24363272.727273,16382900,26741681.818182,17445500,24875336.363636,18502872.727273,26661809.090909,21818845.454545,27251027.272727,22635554.545455,22774181.818182,25353736.363636,23635009.090909,17176190.909091,25466227.272727,22395100,26492654.545455,23476100,24900009.090909
Cranwell,2022-05-26,2022-05-28T00:00:00Z,1092307.6363636,0,1487054.5454545,0,0,0,0,0,0,0,0,0,1452763.6363636,1311418.1818182,1289672.7272727,1439800,1293645.4545455,1366200,1377281.8181818,1170490.9090909,1138290.9090909,1341109.0909091,1483918.1818182,1254127.2727273,1383972.7272727,1105463.6363636,1467818.1818182,997363.63636364,1165472.7272727,1389618.1818182,1305145.4545455,1443981.8181818,1458200,1375609.0909091,1393590.9090909,1409272.7272727,1357000,1429345.4545455,1269390.9090909,1446490.9090909,1343618.1818182,1487054.5454545,1400490.9090909,1417427.2727273,1089781.8181818,1413454.5454545,1292600,1410945.4545455,1274618.1818182,1249527.2727273,1400490.9090909,1225063.6363636,1293854.5454545
Cranwell,2022-05-26,2022-05-28T06:00:00Z,1251166.5454545,0,1606654.5454545,0,0,0,0,0,0,0,0,0,1500854.5454545,1558145.4545455,1480572.7272727,1565254.5454545,1558145.4545455,1581772.7272727,1518627.2727273,1557518.1818182,1528036.3636364,1518418.1818182,1493327.2727273,1557309.0909091,1536818.1818182,1529918.1818182,1453809.0909091,1606654.5454545,1463636.3636364,1522390.9090909,1553963.6363636,1551245.4545455,1514236.3636364,1526781.8181818,1426418.1818182,1557309.0909091,1520718.1818182,1339436.3636364,1537236.3636364,1570481.8181818,1551245.4545455,1548945.4545455,1510054.5454545,1544763.6363636,1451718.1818182,1497509.0909091,1578218.1818182,1564418.1818182,1522390.9090909,1538909.0909091,1584072.7272727,1481200,1555845.4545455
