Site,PullDate,ValidDate,ValidHoure,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,average
Cranwell,2022-07-28,2022-07-28,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cranwell,2022-07-28,2022-07-28,06:00:00,207761.09090909,83427.272727273,562872.72727273,189854.54545455,256136.36363636,149709.09090909,300463.63636364,99736.363636364,166645.45454545,142390.90909091,134445.45454545,107263.63636364,131936.36363636,92000,213063.63636364,94718.181818182,110190.90909091,172918.18181818,255509.09090909,333290.90909091,324090.90909091,143436.36363636,293145.45454545,132772.72727273,219963.63636364,224772.72727273,398527.27272727,120436.36363636,178981.81818182,131936.36363636,121063.63636364,231672.72727273,110818.18181818,324927.27272727,163300,182745.45454545,256763.63636364,192781.81818182,341445.45454545,83427.272727273,237109.09090909,211181.81818182,113745.45454545,438463.63636364,133190.90909091,144690.90909091,119600,369045.45454545,210972.72727273,324090.90909091,176890.90909091,562872.72727273,218918.18181818,207761.1
Cranwell,2022-07-28,2022-07-28,12:00:00,14820284.181818,10046818.181818,20640827.272727,13869000,11326663.636364,15878990.909091,15710463.636364,10431127.272727,10046818.181818,16041245.454545,16555400,12630972.727273,14115518.181818,12360827.272727,16180081.818182,13868581.818182,16236954.545455,13501836.363636,16262881.818182,15873972.727273,17404100,12323400,19673572.727273,13546581.818182,15002272.727273,17576181.818182,17034845.454545,14480800,15370900,15582918.181818,13770727.272727,19775190.909091,13070063.636364,11892045.454545,13085536.363636,15946318.181818,13170427.272727,16948072.727273,13489081.818182,10434054.545455,15236872.727273,15764409.090909,12398672.727273,20640827.272727,15719663.636364,13314700,12931436.363636,16348818.181818,13598436.363636,17927663.636364,14030836.363636,16478663.636364,16154781.818182,14820284.2
Cranwell,2022-07-28,2022-07-28,18:00:00,15699381.818182,8287318.1818182,21969390.909091,15061027.272727,8291290.9090909,17016654.545455,15080472.727273,17953381.818182,13073200,21453145.454545,15284127.272727,15636863.636364,13894718.181818,15623481.818182,13255736.363636,17929963.636364,16623354.545455,13555572.727273,12345145.454545,12258581.818182,17648109.090909,8287318.1818182,16562509.090909,18756500,14712890.909091,18404390.909091,17252090.909091,17267354.545455,13790590.909091,18711336.363636,19196218.181818,13535290.909091,17912400,9972381.8181818,14465327.272727,11571090.909091,15389927.272727,20214072.727273,12770854.545455,17249372.727273,19611054.545455,17648527.272727,18875681.818182,14262509.090909,12924536.363636,21093927.272727,13880709.090909,12065381.818182,20978509.090909,14961500,21969390.909091,14404690.909091,14285927.272727,15699381.8
Cranwell,2022-07-28,2022-07-29,00:00:00,688356.54545455,358172.72727273,1237818.1818182,674945.45454545,563709.09090909,713000,643163.63636364,804372.72727273,941327.27272727,1237818.1818182,729727.27272727,807300,847863.63636364,683727.27272727,981472.72727273,962236.36363636,430727.27272727,497636.36363636,759836.36363636,479863.63636364,751263.63636364,358172.72727273,523354.54545455,657381.81818182,613263.63636364,996736.36363636,803745.45454545,762554.54545455,462300,484045.45454545,666372.72727273,446409.09090909,670972.72727273,501400,647136.36363636,475681.81818182,642118.18181818,783672.72727273,429681.81818182,892190.90909091,718436.36363636,830509.09090909,649854.54545455,521681.81818182,652990.90909091,929200,451427.27272727,536527.27272727,1183663.6363636,659890.90909091,751681.81818182,400409.09090909,804372.72727273,688356.5
Cranwell,2022-07-28,2022-07-29,06:00:00,659301.27272727,232718.18181818,908290.90909091,662400,452890.90909091,553881.81818182,661145.45454545,737045.45454545,761090.90909091,908290.90909091,647972.72727273,785345.45454545,687909.09090909,649018.18181818,781790.90909091,858736.36363636,509972.72727273,338936.36363636,749172.72727273,540918.18181818,680381.81818182,557854.54545455,398945.45454545,655081.81818182,865845.45454545,815663.63636364,862918.18181818,875463.63636364,844518.18181818,235436.36363636,853300,580018.18181818,544263.63636364,407309.09090909,550118.18181818,665536.36363636,874627.27272727,831136.36363636,635636.36363636,688118.18181818,785763.63636364,640027.27272727,678709.09090909,232718.18181818,445154.54545455,821100,254254.54545455,583781.81818182,723872.72727273,864800,679127.27272727,851209.09090909,695854.54545455,659301.3
Cranwell,2022-07-28,2022-07-29,12:00:00,19277767.818182,9573854.5454545,24807381.818182,22478736.363636,17456372.727273,20291436.363636,9993918.1818182,20053700,24024963.636364,24209800,19201654.545455,20792836.363636,18564554.545455,22331954.545455,17222818.181818,20690381.818182,20032790.909091,10563690.909091,21230881.818182,21997200,19252045.454545,17766663.636364,22850918.181818,20787400,21931545.454545,20312554.545455,17624063.636364,24446281.818182,17407027.272727,9573854.5454545,22543136.363636,22181200,18072354.545455,11003200,22028563.636364,19711209.090909,19533272.727273,20339109.090909,23609081.818182,19807390.909091,15846163.636364,20047009.090909,15303154.545455,16433918.181818,12063918.181818,24807381.818182,17806600,19639281.818182,21507300,22370845.454545,20021081.818182,16520063.636364,19603109.090909,19277767.8
Cranwell,2022-07-28,2022-07-29,18:00:00,17297618.363636,12332390.909091,26605563.636364,22784427.272727,14234072.727273,15036563.636364,16543272.727273,20841345.454545,19339027.272727,15087372.727273,14624445.454545,17761854.545455,16253890.909091,16589272.727273,17619881.818182,19654336.363636,15844281.818182,13922945.454545,20259863.636364,15000600,18611390.909091,18789327.272727,16469254.545455,16574845.454545,14674209.090909,15540263.636364,19920090.909091,22095890.909091,14351163.636364,20829636.363636,24514863.636364,16213745.454545,15961581.818182,18486563.636364,14146881.818182,18466490.909091,12853654.545455,18007954.545455,26605563.636364,12332390.909091,20391172.727273,15857663.636364,12785490.909091,18741863.636364,16560418.181818,14566736.363636,18026563.636364,16985290.909091,17287845.454545,16961872.727273,14167790.909091,18842018.181818,16862972.727273,17297618.4
Cranwell,2022-07-28,2022-07-30,00:00:00,801692.18181818,414627.27272727,1272318.1818182,670972.72727273,780327.27272727,942163.63636364,598836.36363636,985027.27272727,774054.54545455,684354.54545455,775518.18181818,524609.09090909,832600,1055490.9090909,825490.90909091,1006563.6363636,600509.09090909,414627.27272727,888009.09090909,867936.36363636,802072.72727273,796218.18181818,705681.81818182,926063.63636364,744154.54545455,895118.18181818,736000,694809.09090909,621418.18181818,1013672.7272727,1163800,608454.54545455,467736.36363636,684772.72727273,823609.09090909,562454.54545455,702963.63636364,849954.54545455,1272318.1818182,578136.36363636,982518.18181818,659054.54545455,554509.09090909,783672.72727273,654454.54545455,928990.90909091,1036881.8181818,849536.36363636,993390.90909091,964118.18181818,817545.45454545,1086436.3636364,897000,801692.2
Cranwell,2022-07-28,2022-07-30,06:00:00,598945.09090909,152009.09090909,833018.18181818,687700,762972.72727273,530672.72727273,779700,407727.27272727,833018.18181818,590681.81818182,820472.72727273,345836.36363636,424036.36363636,811272.72727273,771963.63636364,715927.27272727,823609.09090909,515827.27272727,590263.63636364,722409.09090909,727218.18181818,582945.45454545,515618.18181818,464809.09090909,507254.54545455,595072.72727273,281227.27272727,152009.09090909,376990.90909091,224563.63636364,651527.27272727,624345.45454545,768409.09090909,722827.27272727,679963.63636364,524609.09090909,583572.72727273,768618.18181818,783463.63636364,808972.72727273,487390.90909091,568309.09090909,477563.63636364,638563.63636364,812527.27272727,468572.72727273,574372.72727273,584827.27272727,452890.90909091,529209.09090909,718018.18181818,538409.09090909,618490.90909091,598945.1
